2021-07-22T13:30:44,145Z | INFO  | main | o.f.o.s.OpenIGInitializer | @system | Reading the configuration from /app/uig/config/admin.json
2021-07-22T13:30:44,497Z | INFO  | main | o.f.o.s.OpenIGInitializer | @system | IG environment:
2021-07-22T13:30:44,498Z | INFO  | main | o.f.o.s.OpenIGInitializer | @system | - instance directory: /app/uig
2021-07-22T13:30:44,499Z | INFO  | main | o.f.o.s.OpenIGInitializer | @system | - temporary directory: /app/uig/tmp
2021-07-22T13:30:45,051Z | WARN  | main | o.f.o.s.OpenIGInitializer | @system | The product is running in DEVELOPMENT mode - by default, all endpoints are open and accessible. Do not use this mode for a production environment. To switch to PRODUCTION mode, remove or set the top-level attribute '"mode": "PRODUCTION"' to '/app/uig/config/admin.json'
2021-07-22T13:30:58,131Z | INFO  | main | o.f.api.models.Items | @system | Asked for Items for annotated type, but type does not have required RequestHandler annotation. No api descriptor will be available for class org.forgerock.monitoring.DropwizardMetricsCollectionResourceProvider
2021-07-22T13:30:58,133Z | INFO  | main | o.f.a.m.Resource | @system | Asked for Resource for annotated type, but type does not have required RequestHandler annotation. No api descriptor will be available for class org.forgerock.monitoring.DropwizardMetricsCollectionResourceProvider
2021-07-22T13:30:58,635Z | INFO  | main | o.f.o.s.OpenIGInitializer | @system | /app/uig/config/config.json not readable, using IG's default-config.json
2021-07-22T13:31:01,510Z | INFO  | main | o.f.o.h.r.RouterHandler | @system | Routes endpoint available at '/openig/api/system/objects/_router/routes'
2021-07-22T13:31:01,683Z | INFO  | main | o.f.o.h.r.RouterHandler | @system | Loaded the route with id 'apis' registered with the name 'apis'
2021-07-22T13:31:01,729Z | INFO  | main | o.f.o.h.r.RouterHandler | @system | Loaded the route with id 'apis2' registered with the name 'apis2'
2021-07-22T13:32:25,407Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Unloaded the route with id 'apis2'
2021-07-22T13:32:25,412Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Undeployed the route with id 'apis2'
2021-07-22T13:32:31,066Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Unloaded the route with id 'apis'
2021-07-22T13:32:31,069Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Undeployed the route with id 'apis'
2021-07-22T13:33:06,672Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Loaded the route with id 'provision' registered with the name 'provision'
2021-07-22T13:33:06,686Z | INFO  | pool-6-thread-1 | o.f.o.h.r.RouterHandler | @system | Deployed the route with id 'provision' named 'provision'
2021-07-22T13:38:55,905Z | INFO  | main | o.f.o.h.r.RouterHandler | @system | Unloaded the route with id 'provision'
